model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,clean_accuracy,clean_mean_confidence,accuracy_drop,confidence_drop,incorrect_n,mean_confidence_correct,mean_confidence_incorrect,high_conf_wrong_rate
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,resize_roundtrip,high,100,0.8,0.8549018248915672,0.85,0.8929685404896737,0.04999999999999993,0.03806671559810648,20,0.9373249351978302,0.5252093836665154,0.09
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,resize_roundtrip,low,100,0.87,0.8878275913000107,0.85,0.8929685404896737,-0.020000000000000018,0.005140949189663013,13,0.937023106320151,0.5585960677036872,0.05
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,resize_roundtrip,mid,100,0.85,0.8818732771277428,0.85,0.8929685404896737,0.0,0.011095263361930896,15,0.9388276710229762,0.5591317117214203,0.07
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,clean,clean,clean,100,0.85,0.8929685404896737,0.85,0.8929685404896737,0.0,0.0,15,0.9544879534665276,0.5443585336208343,0.06
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,dirty_lens_recompress,high,100,0.82,0.8780013087391854,0.85,0.8929685404896737,0.030000000000000027,0.014967231750488308,18,0.9435932171054002,0.579193726181984,0.11
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,dirty_lens_recompress,low,100,0.86,0.8824186810851097,0.85,0.8929685404896737,-0.010000000000000009,0.010549859404563988,14,0.9298318981431252,0.5911660620144435,0.08
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,dirty_lens_recompress,mid,100,0.83,0.8829085478186607,0.85,0.8929685404896737,0.020000000000000018,0.010059992671012985,17,0.9500376610870821,0.5551605242140153,0.1
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,low_light_upload,high,100,0.63,0.8507390606403351,0.85,0.8929685404896737,0.21999999999999997,0.04222947984933856,37,0.9364852550483885,0.7047387836752711,0.32
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,low_light_upload,low,100,0.85,0.8696433541178703,0.85,0.8929685404896737,0.0,0.023325186371803364,15,0.917852529708077,0.5964580257733663,0.1
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,low_light_upload,mid,100,0.77,0.8668014106154441,0.85,0.8929685404896737,0.07999999999999996,0.026167129874229533,23,0.9190685927093803,0.691819974909658,0.19
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,messenger_chain,high,100,0.85,0.8831182098388672,0.85,0.8929685404896737,0.0,0.009850330650806427,15,0.9399960170773899,0.5608106354872385,0.1
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,messenger_chain,low,100,0.87,0.8799816751480103,0.85,0.8929685404896737,-0.020000000000000018,0.012986865341663378,13,0.923098655610249,0.5914295751314896,0.07
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,messenger_chain,mid,100,0.83,0.8873636177182198,0.85,0.8929685404896737,0.020000000000000018,0.005604922771453857,17,0.9487108049622501,0.5878449976444244,0.09
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,restoration_artifact,high,100,0.81,0.8700086390972137,0.85,0.8929685404896737,0.039999999999999925,0.022959901392459958,19,0.9424130644327329,0.5613371416142112,0.13
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,restoration_artifact,low,100,0.83,0.8835603460669518,0.85,0.8929685404896737,0.020000000000000018,0.009408194422721894,17,0.9464030405843115,0.5767401316586662,0.1
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,restoration_artifact,mid,100,0.84,0.8751736813783646,0.85,0.8929685404896737,0.010000000000000009,0.01779485911130907,16,0.9331758589971633,0.5706622488796711,0.09
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,screenshot_chain,high,100,0.84,0.8722805014252663,0.85,0.8929685404896737,0.010000000000000009,0.020688039064407415,16,0.9310161982263837,0.5639180932193995,0.08
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,screenshot_chain,low,100,0.87,0.8785795712471008,0.85,0.8929685404896737,-0.020000000000000018,0.014388969242572824,13,0.9247710108757019,0.5694522445018475,0.07
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,screenshot_chain,mid,100,0.85,0.883257794380188,0.85,0.8929685404896737,0.0,0.009710746109485635,15,0.9365133979741265,0.5814760406812032,0.09
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,video_call_frame,high,100,0.76,0.8515014317631722,0.85,0.8929685404896737,0.08999999999999997,0.0414671087265015,24,0.9291515130745737,0.6056095076104006,0.18
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,video_call_frame,low,100,0.85,0.8810518988966942,0.85,0.8929685404896737,0.0,0.011916641592979449,15,0.928601738985847,0.6116028050581614,0.09
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,video_call_frame,mid,100,0.83,0.8649428787827492,0.85,0.8929685404896737,0.020000000000000018,0.028025661706924443,17,0.9236138340938522,0.578490567557952,0.1
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,blur_classic,high,100,0.78,0.11805710054934025,0.84,0.12402384452521802,0.05999999999999994,0.005966743975877764,22,0.12030783658608413,0.11007721823724834,0.0
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,classic,blur_classic,low,100,0.85,0.12376870535314083,0.84,0.12402384452521802,-0.010000000000000009,0.0002551391720771873,15,0.12648011034025866,0.1084040770928065,0.0
