model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_05,level_3,500,0.048,0.1708751822039485,0.302
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_05,level_4,500,0.026,0.20554242308437826,0.32399999999999995
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_05,level_5,500,0.014,0.2052462061420083,0.33599999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_06,level_1,500,0.292,0.4232829729020596,0.057999999999999996
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_06,level_2,500,0.25,0.38714415596425533,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_06,level_3,500,0.232,0.36713916912674904,0.11799999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_06,level_4,500,0.206,0.3584571428745985,0.144
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_06,level_5,500,0.19,0.3467228182256222,0.15999999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_07,level_1,500,0.294,0.4282282344251871,0.055999999999999994
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_07,level_2,500,0.24,0.3842899671047926,0.10999999999999999
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_07,level_3,500,0.172,0.34763756915926936,0.178
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_07,level_4,500,0.1,0.33929038286209107,0.24999999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_07,level_5,500,0.05,0.29243626157939434,0.3
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_08,level_1,500,0.264,0.4288836687207222,0.08599999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_08,level_2,500,0.252,0.37224543388187886,0.09799999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_08,level_3,500,0.232,0.3120614737793803,0.11799999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_08,level_4,500,0.21,0.2733653256893158,0.13999999999999999
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_08,level_5,500,0.126,0.2321600257754326,0.22399999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_09,level_1,500,0.262,0.40873010782897473,0.08799999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_09,level_2,500,0.184,0.33755473589152096,0.16599999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_09,level_3,500,0.094,0.24311857441067697,0.256
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_09,level_4,500,0.024,0.1720137958675623,0.32599999999999996
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_09,level_5,500,0.006,0.1266228765398264,0.344
