model_name,model_slug,severity,base_type,base_name,base_display_name,color_accuracy,grayscale_accuracy,grayscale_minus_color_accuracy,color_mean_confidence,grayscale_mean_confidence,grayscale_minus_color_confidence
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_1,07,dirty_lens_1,Dirty lens 1,0.718,0.646,-0.07199999999999995,0.01483172851242125,0.014224980803206564,-0.0006067477092146865
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_1,08,dirty_lens_2,Dirty lens 2,0.662,0.586,-0.07600000000000007,0.014466333592310547,0.013882390756160021,-0.000583942836150526
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_1,05,gaussian_blur,Gaussian blur,0.198,0.13,-0.068,0.012766807714477182,0.012426547540351749,-0.00034026017412543304
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_1,04,overexposure,Overexposure,0.746,0.724,-0.02200000000000002,0.015773811608552932,0.015454233003780246,-0.000319578604772686
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_1,02,resize,Resize,0.746,0.732,-0.014000000000000012,0.015914695471525193,0.015579449400305747,-0.0003352460712194461
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_1,09,salt_pepper_noise,Salt & pepper noise,0.434,0.146,-0.28800000000000003,0.012920671563595533,0.01195487918332219,-0.0009657923802733424
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_1,03,underexposure,Underexposure,0.75,0.7334669338677354,-0.016533066132264573,0.015842118157073856,0.015510557779299472,-0.00033156037777438453
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_2,06,contrast,Contrast,0.714,0.684,-0.029999999999999916,0.015149419376626611,0.014663578294217586,-0.0004858410824090248
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_2,07,dirty_lens_1,Dirty lens 1,0.624,0.488,-0.136,0.01392535288259387,0.013179368501529098,-0.0007459843810647716
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_2,08,dirty_lens_2,Dirty lens 2,0.6,0.51,-0.08999999999999997,0.014028558380901814,0.01339989847689867,-0.0006286599040031433
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_2,05,gaussian_blur,Gaussian blur,0.032,0.02,-0.012,0.012187401039525866,0.012046468337997794,-0.0001409327015280716
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_2,04,overexposure,Overexposure,0.606,0.516,-0.08999999999999997,0.014309350544586777,0.013801909325644374,-0.0005074412189424032
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_2,02,resize,Resize,0.74,0.724,-0.016000000000000014,0.015813070729374885,0.015488121056929231,-0.00032494967244565444
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_2,09,salt_pepper_noise,Salt & pepper noise,0.138,0.046,-0.09200000000000001,0.01201249735429883,0.01130779779329896,-0.0007046995609998712
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_2,03,underexposure,Underexposure,0.74,0.722,-0.018000000000000016,0.01578445646353066,0.015467301223427057,-0.0003171552401036032
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_3,06,contrast,Contrast,0.688,0.61,-0.07799999999999996,0.014846050420776009,0.01431508550606668,-0.0005309649147093292
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_3,07,dirty_lens_1,Dirty lens 1,0.476,0.32,-0.15599999999999997,0.01306253271177411,0.012283404313027858,-0.0007791283987462518
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_3,08,dirty_lens_2,Dirty lens 2,0.58,0.464,-0.11599999999999994,0.013667390644550324,0.013037553695961834,-0.0006298369485884907
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_3,05,gaussian_blur,Gaussian blur,0.01,0.008,-0.002,0.012299795333296061,0.012129916604608297,-0.00016987872868776469
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_3,04,overexposure,Overexposure,0.488,0.378,-0.10999999999999999,0.013642925761640072,0.013172777142375707,-0.0004701486192643656
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_3,02,resize,Resize,0.724,0.71,-0.014000000000000012,0.01569602870568633,0.01537163207679987,-0.00032439662888645963
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_3,09,salt_pepper_noise,Salt & pepper noise,0.048,0.006,-0.042,0.011536009564995765,0.011080825367942453,-0.000455184197053312
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_3,03,underexposure,Underexposure,0.736,0.72,-0.016000000000000014,0.015619091307744384,0.015315186033025384,-0.00030390527471899943
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_4,06,contrast,Contrast,0.65,0.556,-0.09399999999999997,0.014586491402238607,0.014039588132873178,-0.0005469032693654289
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_4,07,dirty_lens_1,Dirty lens 1,0.304,0.16,-0.144,0.01218104294128716,0.011593535857275128,-0.0005875070840120327
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_4,08,dirty_lens_2,Dirty lens 2,0.502,0.382,-0.12,0.013171716548502445,0.012640156209468841,-0.0005315603390336036
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_4,05,gaussian_blur,Gaussian blur,0.01,0.01,0.0,0.012058903630822897,0.011872285610064865,-0.00018661802075803195
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,level_4,04,overexposure,Overexposure,0.408,0.298,-0.10999999999999999,0.013250180330127478,0.012754973078146577,-0.0004952072519809007
